,sersic_bulge,size_minor_bulge_true,dec_true,size_disk_true,size_minor_disk_true,size_true,size_bulge_true,mag_i,ra_true,mag_true_i,sersic_disk,magnification,size_minor_true,galaxy_id,seed,sf_z,tau_y,tau_g,sf_u,tau_u,sf_y,tau_z,sf_r,tau_i,M_i,sf_g,tau_r,sf_i,flux_y,flux_u_noMW,dec,flux_z_noMW,flux_i,flux_g_noMW,is_pointsource,is_variable,flux_g,flux_i_noMW,flux_z,flux_r_noMW,ra,flux_u,flux_y_noMW,redshift,flux_r,ellipticity_1_disk_true,ellipticity_2_bulge_true,ellipticity_2_true,ellipticity_2_disk_true,ellipticity_1_true,ellipticity_2_true_dc2,ellipticity_1_bulge_true,ellipticity_disk_true,ellipticity_true,ellipticity_1_bulge_true_dc2,ellipticity_bulge_true,ellipticity_1_true_dc2,ellipticity_1_disk_true_dc2,ellipticity_2_bulge_true_dc2,ellipticity_2_disk_true_dc2,Mag_true_i_lsst_z0,bulge_to_total_ratio_i,stellar_mass_bulge,halo_mass,stellar_mass,stellar_mass_disk,shear_2,shear_1,convergence
0,4.0,0.5146841,-27.7744722813444,0.8381799,0.7375545,0.60792625,0.5702038,18.719040878871983,52.520784703566925,18.734043,1.0,1.0139134798586726,0.5467708,1875061370,549883,1.351,338.5,292.2,2.042,276.3,1.281,330.7,1.587,321.0,-16.56830535685312,1.796,308.3,1.446,857.2897,396.81036,-27.77585685058966,906.30835,589.4793,394.33313,1,1,383.95325,598.20935,895.9111,494.68808,52.52629289499003,383.33652,865.41187,0.2644216,485.17862,0.008185446,0.050753348,0.052525397,0.06333258,0.0067886673,-0.0509839681199252,0.006559638,0.06385936,0.05296228,-0.0138562988355552,0.051175494,-0.0143400900740182,-0.0172905875266438,-0.049263923339789,-0.0614740046040846,-22.044504,0.8549345,51881930000.0,1181640479008.4507,54177490000.0,2295557400.0,0.0086348568430411,-0.0050822012123727,0.0068344357027245
1,4.0,0.4212287,-27.678201508224845,0.88936424,0.7245895,0.4948007,0.4264796,21.062712549312927,53.00314890063443,21.05909,1.0,0.9966687571661738,0.4750306,1875146511,5044592,1.157,191.0,172.2,1.744,165.6,1.097,187.9,1.358,184.0,-15.545847194985868,1.535,178.9,1.238,235.97873,118.30289,-27.68143973705185,258.9688,158.42659,117.52137,1,1,113.56459,161.45935,255.2441,140.25574,53.01220448714568,113.18253,238.85004,0.33985764,136.8201,-0.02445393,0.006013895,0.019791681,0.09912192,-0.0048827184,-0.0127743730562882,-0.0014836615,0.10209383,0.020385083,-0.004827134933853,0.006194206,-0.0158860628928278,-0.0795615612932367,-0.0038816176704121,-0.0639774040778479,-20.320591,0.8293118,4977018400.0,468494664833.80286,5067763700.0,90745180.0,0.0006900844272471,0.0011390680782941,-0.001670679812584
2,4.0,0.3404739,-28.01100633570113,0.88906497,0.15504956,0.59808713,0.5544005,19.778312941300523,52.65768103885494,19.785557,1.0,1.0066941404376244,0.32221484,1875147669,9334447,0.5858,189.1,169.0,0.884,161.9,0.5557,185.8,0.6879,181.6,-18.541087509173014,0.7777,176.1,0.627,3690.1414,1840.7655,-28.012915733198795,4037.5151,2480.2483,1828.0852,1,1,1780.591,2516.6575,3992.785,2184.8586,52.66701296117869,1779.2191,3724.6013,0.33792862,2143.603,-0.38966846,-0.19897313,-0.24949934,-0.58512515,-0.16615596,-0.1529493638215247,-0.13250765,0.7030028,0.2997628,-0.205598046993962,0.2390577,-0.2578065546842721,-0.6046071804407314,-0.1219755274616097,-0.3586964021282783,-21.611526,0.8540063,28999700000.0,1397664765115.493,29823463000.0,823761900.0,-0.0004894215491144,-0.0017233921639718,0.0033287489283568
3,4.0,0.27847853,-27.82885189706714,0.48263162,0.22770326,0.33082733,0.308451,20.441612724704324,52.62561831775252,20.442396,1.0,1.000721834599824,0.2758234,1875180096,9739517,0.95,276.3,243.6,1.439,232.2,0.9007,270.9,1.117,264.1,-16.34796429870504,1.264,255.1,1.017,336.62613,168.44281,-27.831856312586098,346.90134,223.07062,171.26862,1,1,166.22835,226.8023,342.57877,196.06525,52.63451430856081,162.06674,340.20697,0.3815263,191.87367,0.073785305,0.049975596,0.08873119,0.3512179,0.018641014,-0.0321576204919427,0.01049908,0.35888478,0.09066814,0.0477467049597105,0.051066536,0.0847738131108715,0.3355537103282464,-0.0181119659655633,-0.1272870533414195,-21.325588,0.84103394,28156981000.0,1296159377667.6057,28546183000.0,389200800.0,-0.0045244914459788,0.009903532395857,0.0003014269059453
4,4.0,0.5909564,-28.001255445225127,1.6462772,1.2026695,1.4996916,0.70003134,21.136970762282367,52.523991295737694,21.142693,1.0,1.0052838866512586,1.1205784,1875181891,7332986,0.7845,835.5,733.1,1.188,697.5,0.7437,818.5,0.9225,797.2,-15.713388494093614,1.044,769.0,0.8401,186.53214,88.16767,-28.004631932921967,175.16872,117.8439,90.813484,1,1,88.40609,119.61852,173.20306,102.23061,52.532438470641374,85.16014,188.32452,0.39277697,100.26212,-0.15481484,-0.009043312,-0.015486288,-0.016666299,-0.1438536,0.1429021842738847,-0.084004186,0.15570934,0.14468478,-0.0132218065905019,0.084489554,-0.0226417827920119,-0.0243670216225646,0.0834485985130184,0.1537909203572947,-20.613014,0.14920123,1133582500.0,510138639143.662,5299428000.0,4165845500.0,0.0067309659026431,-0.0089853540364799,0.0025683338954116
5,4.0,0.51494366,-27.54997645690256,1.3225201,0.6534344,1.0070925,0.57522553,21.47292856351045,53.00228674692243,21.47231,1.0,0.9994296273043562,0.645054,1875296922,969063,1.323,912.3,801.7,2.006,763.2,1.254,893.9,1.556,870.9,-14.886327258341314,1.762,840.4,1.417,86.30128,33.58227,-27.554615200211934,56.357697,47.51846,36.930393,1,1,35.83031,48.32824,55.63718,38.72712,53.01177903490057,32.29545,87.238266,0.43567747,37.8862,-0.04987469,0.054692786,0.21674214,0.33492073,-0.032276135,-0.116198656786209,-0.0081445705,0.33861393,0.21913217,0.0468815334517834,0.055295885,0.1857869212984322,0.2870871905777211,-0.0293216076627075,-0.1795559434028852,-20.781977,0.42862397,3487311000.0,1064518878107.0424,8123799600.0,4636488000.0,0.0007043552544486,0.0029729722224257,-0.0002899744006623
6,4.0,0.18403064,-27.95773218861716,0.29094034,0.2259935,0.20524126,0.1980469,21.09087859056548,52.6549429387298,21.106768,1.0,1.0147419752785036,0.18809685,1875302714,5152596,1.819,864.1,765.0,2.775,730.4,1.723,847.7,2.145,827.1,-14.896923488557583,2.433,799.8,1.951,76.173164,28.92238,-27.962359502635476,47.814865,42.12387,33.16374,1,1,32.244503,42.78924,47.246563,33.812653,52.664873076674844,27.890793,76.93482,0.46813717,33.129044,-0.12033244,0.010548507,0.01253333,0.036127128,-0.041746087,-0.0435702358053763,-0.035135027,0.12563863,0.04358693,-0.001015168059346,0.036684345,-0.0012061836449983,-0.0034768053414667,-0.0366702963609247,-0.1255905178330439,-21.222221,0.8928289,14429686000.0,530960626298.5916,14578417000.0,148730540.0,0.0035475074851974,-0.0154311376568109,0.0071642139267825
7,4.0,0.3924757,-27.592514697821144,0.56134546,0.31116787,0.43485853,0.434226,19.913174775777648,52.72318126194254,19.9112,1.0,0.998182421773535,0.39212096,1875365010,864085,0.7008,283.1,254.7,1.061,244.7,0.6644,278.4,0.8239,272.6,-18.473656355443445,0.9326,264.7,0.7504,1701.7413,669.0447,-27.59814505126497,1091.5914,980.19995,782.3673,1,1,757.1239,998.25323,1076.4706,787.27655,52.7324632670624,641.2861,1721.4778,0.49489436,768.7176,0.0053201965,0.05049359,0.0516702,0.28668278,0.0009588843,0.0028899932122826,0.00093704904,0.28673214,0.051679097,0.050423256671295,0.050502285,0.0515982268877259,0.2862834433466808,0.0028241836650377,0.0160346054111719,-22.615244,0.99194664,66813665000.0,1590266300214.0845,66823987000.0,10323722.0,0.0057191644545882,0.0050033503202789,-0.0009388743519898
8,4.0,0.6414199,-27.76463012319925,1.6362243,0.56095546,1.1169397,1.1154288,19.757751238190423,52.75765453636984,19.752874,1.0,0.9955183153004208,0.6414058,1875368119,746307,0.7268,457.6,402.9,1.105,383.8,0.6887,448.6,0.856,437.2,-19.800714278137324,0.97,422.1,0.7789,5711.6304,2253.5667,-27.769664824840778,3673.0005,3312.3706,2638.8037,1,1,2564.3826,3365.5159,3628.5815,2652.853,52.76748447060587,2171.7913,5769.3403,0.49717993,2598.214,0.06716565,-0.26725325,-0.26788476,-0.48475495,0.037117008,0.1028276503936781,0.03702951,0.48938593,0.27044392,0.2495430864419323,0.26980639,0.2501327371405986,0.452631527178209,0.1025852495124901,0.1860733503574777,-22.83606,0.99545896,116575720000.0,3008789328045.071,116587230000.0,11512832.0,-0.0032955955786567,-0.0031990239927155,-0.0022589262880929
9,4.0,0.2059282,-27.63550810026949,0.4391518,0.37539095,0.28996658,0.22483262,22.368095996174723,52.56333105690847,22.382437,1.0,1.0132959397719878,0.26006302,1875439151,9867463,0.911,215.0,191.8,1.367,183.7,0.8647,211.2,1.067,206.4,-15.793592669485381,1.205,200.0,0.9741,109.95413,48.719227,-27.642191602109282,78.33637,72.13286,58.446976,1,1,56.835564,73.26238,77.40845,57.897766,52.5706756629606,46.989487,111.03606,0.5384485,56.728508,0.035837326,0.0390167,0.04833482,0.06959268,0.024890417,0.0407570181728464,0.020091975,0.07827806,0.054367155,0.0290447161481481,0.043886106,0.0359812867292297,0.0518060073579418,0.0328997690600539,0.0586821254959454,-20.099428,0.6061928,3324981800.0,333151748326.76056,3581025300.0,256043500.0,-0.0058429547503071,0.0062841875714657,0.0065453438959213
