,LENSID,FLAGTYPE,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,KAPPA,FSTAR,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,SIGCRIT,DSLUM,L_I,REFF,REFF_T,weight,ABMAGI_IN
0,28120085,0,2,0.972,158.8547,0.3799035,60.84958,0.1675258,-134.306,2.65,0.1600434,-0.04205637,21.25,22.33952,0.6391419,"[-0.121, 0.4918, 0.0, 0.0]","[0.0534, 0.235, 0.0, 0.0]","[-0.3666, 2.0623, 0.0, 0.0]","[23.026, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1640.49463,6379.5293,-22.2130394,22.7829037,0.972000003,1642.88,756.564,0.0,21887.3,0.0,0.0,0.0,1,-26.422960956243184
1,2170649,0,2,0.356,144.2115,0.3715408,-52.76967,0.03729029,68.46126,2.04,-0.1780764,-0.04604602,22.39,22.72428,0.8078076,"[-0.5945, 0.2108, 0.0, 0.0]","[0.0267, 0.0903, 0.0, 0.0]","[4.2941, -0.735, 0.0, 0.0]","[0.0, 8.097, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1030.13586,1894.14771,-21.4973583,20.2457123,0.356000006,1722.69,1263.19,0.0,15920.4,0.0,0.0,0.0,1,-23.975769881931125
2,72642333,0,2,1.522,238.2319,0.3375339,34.56773,0.1637613,-127.8547,3.89,0.4212756,0.06342536,21.85,22.64848,1.384221,"[1.0512, -0.2089, 0.0, 0.0]","[0.5983, 0.0254, 0.0, 0.0]","[1.6861, -0.4793, 0.0, 0.0]","[0.0, 199.252, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1746.23853,11106.9209,-23.6885796,23.061388,1.52199996,1450.41,549.792,0.0,34682.3,0.0,0.0,0.0,1,-27.3725394126983
3,31148653,0,2,1.016,280.5434,0.2816117,91.63868,0.04949279,-28.94337,2.05,-0.1778311,0.2046562,23.53,22.59304,1.718983,"[0.5098, -0.6504, 0.0, 0.0]","[-0.3036, 0.9648, 0.0, 0.0]","[-2.3702, 2.8349, 0.0, 0.0]","[123.252, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1657.95959,6738.37256,-23.7379169,21.4208603,1.01600003,1721.65,625.762,0.0,16015.6,0.0,0.0,0.0,1,-23.508716097421313
4,350831,0,2,0.186,209.894,0.162288,-129.3107,0.02303224,113.0656,1.78,-0.1146524,-0.307523,23.05,21.73989,2.211824,"[-0.5152, 0.2093, 0.0, 0.0]","[-1.3395, 0.7503, 0.0, 0.0]","[3.3423, -3.3577, 0.0, 0.0]","[0.0, 17.911, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",642.642029,903.937744,-22.3543797,17.6123142,0.186000004,1742.86,1468.69,0.0,13469.5,0.0,0.0,0.0,1,-22.782757377094786
5,4789516,0,2,0.476,221.8196,0.07348919,148.7687,0.03216037,67.83229,1.29,0.1835049,0.1264667,22.05,21.0906,1.57778,"[-0.465, 0.7969, 0.0, 0.0]","[-0.3162, 0.6309, 0.0, 0.0]","[-2.4197, 4.593, 0.0, 0.0]","[31.977, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1225.91333,2670.74561,-22.7168407,19.8923206,0.476000011,1726.55,936.396,0.0,9054.2,0.0,0.0,0.0,1,-23.210250428405985
6,49952092,0,2,1.264,191.4256,0.3288119,159.7888,0.05062356,-136.6394,3.61,0.1406379,0.10635,23.33,23.11883,0.9257976,"[-0.176, 0.6073, 0.0, 0.0]","[-0.2223, 0.2712, 0.0, 0.0]","[-1.2147, 2.8764, 0.0, 0.0]","[43.065, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1722.51575,8829.0918,-22.9212799,23.0723,1.26400006,1493.14,647.2,0.0,31732.4,0.0,0.0,0.0,1,-25.441514660549252
7,1215224,0,4,0.288,233.8837,0.3405463,-136.3464,0.03353729,-39.73777,2.92,0.001668022,0.1348162,24.45,22.81531,2.364349,"[0.5588, 0.7397, -1.3066, -1.2551]","[-0.9761, 1.2335, 0.0491, 0.3994]","[-2.888, 4.5069, 22.9141, -21.2407]","[17.305, 0.0, 8.44, 8.477]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",892.950745,1481.35535,-22.7147598,18.4265366,0.287999988,1601.4,1308.01,0.0,24607.8,0.0,0.0,0.0,1,-22.793363930027084
8,34217981,0,2,1.06,221.8196,0.2977127,28.04078,0.03670614,12.52504,1.58,0.150697,0.002188959,22.73,22.21584,0.7099771,"[-0.1926, 0.5167, 0.0, 0.0]","[0.0587, 0.0897, 0.0, 0.0]","[-1.6057, 2.1896, 0.0, 0.0]","[45.069, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1673.38013,7101.15576,-23.1548405,22.1618042,1.05999994,1747.38,411.267,0.0,11631.3,0.0,0.0,0.0,1,-23.6581412270018
9,10798336,0,2,0.652,203.2357,0.4613552,-16.85168,0.05666409,55.53548,1.32,-0.1762579,0.2931977,21.89,22.96481,0.9475528,"[-0.5369, 0.0396, 0.0, 0.0]","[0.6129, -0.1391, 0.0, 0.0]","[2.1694, -0.3716, 0.0, 0.0]","[0.0, 52.968, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1431.09827,3905.61597,-22.6193199,20.9911289,0.65200001,1730.69,711.654,0.0,9315.27,0.0,0.0,0.0,1,-23.607977246478388
10,16700246,0,2,0.778,263.6331,0.4161564,157.8133,0.02530418,-34.17097,1.94,-0.730763,0.2403755,21.03,21.67378,2.087716,"[-1.7163, 0.2477, 0.0, 0.0]","[0.64, -0.068, 0.0, 0.0]","[1.6441, -0.5527, 0.0, 0.0]","[0.0, 257.814, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1533.73291,4848.56543,-23.3963394,20.8097267,0.777999997,1731.91,804.371,0.0,14969.9,0.0,0.0,0.0,1,-25.624094493173093
11,835723,0,2,0.252,230.6747,0.1821093,136.1814,0.08975024,-83.19053,2.35,0.3228492,-0.3145961,23.21,22.24522,2.636097,"[1.0143, -0.7355, 0.0, 0.0]","[-1.5459, 0.4257, 0.0, 0.0]","[2.5154, -2.4317, 0.0, 0.0]","[0.0, 42.059, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",811.226501,1271.60071,-22.6515179,18.1222363,0.252000004,1685.82,1382.64,0.0,18919.1,0.0,0.0,0.0,1,-23.4265023677299
12,2355253,0,2,0.366,207.0141,0.407818,62.93353,0.09396976,168.9541,1.86,0.2288259,-0.4585956,22.01,22.74406,1.664178,"[0.5093, -0.2056, 0.0, 0.0]","[-1.2356, 0.2672, 0.0, 0.0]","[3.2007, -0.5086, 0.0, 0.0]","[0.0, 47.691, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1048.56909,1956.58362,-22.4531384,19.3703537,0.365999997,1738.05,1237.23,0.0,14216.6,0.0,0.0,0.0,1,-24.119978718140963
13,26620839,0,2,0.948,317.6874,0.08988929,-49.9839,0.02227512,-74.0055,3.41,-0.3860532,0.007398006,23.21,22.25428,3.043464,"[1.147, -1.8799, 0.0, 0.0]","[0.1387, 0.4558, 0.0, 0.0]","[-2.4115, 5.2594, 0.0, 0.0]","[199.664, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1629.99463,6185.34668,-24.0130806,20.8917389,0.948000014,1524.24,804.235,0.0,29643.6,0.0,0.0,0.0,1,-25.097654736109256
14,4146911,0,2,0.452,135.2073,0.4534909,-161.9442,0.04171884,153.2063,2.77,0.180877,0.1532799,21.73,21.99352,0.7770033,"[-0.0828, 0.5596, 0.0, 0.0]","[-0.1325, 0.3046, 0.0, 0.0]","[-0.7845, 1.8704, 0.0, 0.0]","[12.706, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1190.92773,2510.83765,-21.4002419,21.0508518,0.451999992,1624.72,1166.04,0.0,23092.0,0.0,0.0,0.0,1,-25.53930773613297
15,49451621,0,4,1.258,186.2087,0.5877622,74.70332,0.05365787,91.85572,2.05,-0.05824692,-0.05176279,22.05,21.38589,0.6098585,"[-0.1528, 0.167, -0.2027, -0.0861]","[-0.3553, 0.0019, 0.1516, 0.2509]","[1.8435, -0.7324, -2.7439, 4.1797]","[0.0, 23.582, 16.326, 15.826]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1721.52576,8777.30859,-22.8442993,23.1305065,1.25800002,1721.65,447.153,0.0,16015.6,0.0,0.0,0.0,1,-25.230716087421314
